ConversationID,transcript,Greeting Compliance,Empathy Shown,Call Wrap-up
conv_001,"[{""msg"": ""Thank you for calling ShopDirect. My name is Sarah, how can I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700000000}, {""msg"": ""Hi, I was charged twice for my order."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700000030}, {""msg"": ""I'm so sorry to hear that! Let me look into that right away for you."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700000060}, {""msg"": ""Thank you for calling ShopDirect. Have a great day!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700000090}]",Yes,Yes,Yes
conv_002,"[{""msg"": ""Hello, what do you want?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700001000}, {""msg"": ""I need help with a return."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700001030}, {""msg"": ""Fine, I'll process it."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700001060}, {""msg"": ""Okay done."", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700001090}]",No,No,No
conv_003,"[{""msg"": ""Good morning! Thank you for calling ShopDirect, this is Alex. How may I assist you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700002000}, {""msg"": ""My package arrived damaged."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700002030}, {""msg"": ""Oh no, I sincerely apologise for that! That must be very frustrating."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700002060}, {""msg"": ""Is there anything else I can help you with today? Thank you for calling ShopDirect!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700002090}]",Yes,Yes,Yes
conv_004,"[{""msg"": ""ShopDirect support."", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700003000}, {""msg"": ""I have a billing question."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700003030}, {""msg"": ""Yep, what is it."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700003060}, {""msg"": ""Okay, is that all?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700003090}]",No,No,No
conv_005,"[{""msg"": ""Thank you for calling ShopDirect! My name is Jamie, how can I help?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700004000}, {""msg"": ""I want to cancel my order."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700004030}, {""msg"": ""I understand that can be frustrating. I'll take care of that for you immediately."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700004060}, {""msg"": ""Your order has been cancelled. Is there anything else I can do for you today? Have a wonderful day!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700004090}]",Yes,Yes,Yes
conv_006,"[{""msg"": ""Hi, ShopDirect support, what's your issue?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700005000}, {""msg"": ""My delivery is late."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700005030}, {""msg"": ""I'll check on it."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700005060}, {""msg"": ""It's on the way. Bye."", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700005090}]",No,No,No
conv_007,"[{""msg"": ""Thank you for contacting ShopDirect, I'm Sam. How can I assist you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700006000}, {""msg"": ""I received the wrong item."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700006030}, {""msg"": ""I'm truly sorry for the inconvenience! Let me arrange an immediate replacement for you."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700006060}, {""msg"": ""A replacement has been dispatched. Thank you for your patience and for calling ShopDirect. Have a great day!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700006090}]",Yes,Yes,Yes
conv_008,"[{""msg"": ""ShopDirect, hello."", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700007000}, {""msg"": ""I need to update my address."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700007030}, {""msg"": ""What's the new address."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700007060}, {""msg"": ""Done. Anything else?"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700007090}]",No,No,Yes
conv_009,"[{""msg"": ""Good afternoon, thank you for calling ShopDirect. This is Chris, how may I help you today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700008000}, {""msg"": ""I'd like to check on my refund status."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700008030}, {""msg"": ""Of course! I can understand the wait can be concerning. Let me check that for you right away."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700008060}, {""msg"": ""Your refund is being processed. Thank you for calling and have a lovely day!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700008090}]",Yes,Yes,Yes
conv_010,"[{""msg"": ""Support, go ahead."", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700009000}, {""msg"": ""I want to track my order."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700009030}, {""msg"": ""Give me the order number."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700009060}, {""msg"": ""It's out for delivery."", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700009090}]",No,No,No
conv_011,"[{""msg"": ""Hello, welcome to ShopDirect! I'm Taylor. What can I help you with today?"", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700010000}, {""msg"": ""I need a price match."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700010030}, {""msg"": ""I'd be happy to look into that for you! I want to make sure you're getting the best deal."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700010060}, {""msg"": ""I've applied the price match. Is there anything else I can help you with? Thank you for choosing ShopDirect!"", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700010090}]",Yes,Yes,Yes
conv_012,"[{""msg"": ""ShopDirect."", ""messageId"": 1, ""speaker"": ""agent"", ""timestamp"": 1700011000}, {""msg"": ""My discount code isn't working."", ""messageId"": 2, ""speaker"": ""customer"", ""timestamp"": 1700011030}, {""msg"": ""Let me check."", ""messageId"": 3, ""speaker"": ""agent"", ""timestamp"": 1700011060}, {""msg"": ""It's expired."", ""messageId"": 4, ""speaker"": ""agent"", ""timestamp"": 1700011090}]",No,No,No
